id;site;xx;template;engine
1840;:za:CF:Finance:SAP Bank Analyzer:UTR06109;15;_-new-template_-discovery-scan-with-credentials-copy;
1841;:za:CF:Compliance:AML (Actimize) NASM - Africa Regions:UTR06294;15;_-new-template_-discovery-scan-with-credentials-copy;
1842;:za:CF:Compliance:AML (Actimize) NASM - South Africa:UTR07541;15;_-new-template_-discovery-scan-with-credentials-copy;
1843;:za:CF:Finance:Plato:UTR06118;15;_-new-template_-discovery-scan-with-credentials-copy;
1844;:za:CF:Finance:PEW - Entry Warehouse:UTR06078;15;_-new-template_-discovery-scan-with-credentials-copy;
1845;:za:CF:Compliance:AML (Qlikview) Compliance Reporting:UTR07055;15;_-new-template_-discovery-scan-with-credentials-copy;
1846;:za:CF:Compliance:AML (Safewatch) Sanctions Screening:UTR07154;15;_-new-template_-discovery-scan-with-credentials-copy;
1847;:za:CF:Finance:SAP Sybase IQ:UTR06032;15;_-new-template_-discovery-scan-with-credentials-copy;
1848;:za:CF:Finance:SAP Finance BW:UTR06112;15;_-new-template_-discovery-scan-with-credentials-copy;
1849;:za:CF:Finance:GBM - Generic Business Model:UTR06075;15;_-new-template_-discovery-scan-with-credentials-copy;
1850;:za:CF:Finance:Oracle Fusion Subledger:UTR06033;15;_-new-template_-discovery-scan-with-credentials-copy;
1851;:za:CF:Finance:SAP Finance GRC - Governance Risk and Compliance:UTR02747;15;_-new-template_-discovery-scan-with-credentials-copy;
1852;:za:CF:Finance:SAP ECC - Enterprise Central Component (Finance):UTR06269;15;_-new-template_-discovery-scan-with-credentials-copy;
1853;:ke:CF:Finance:CRR - Credit Risk Reporting:UTR06074;48;authentication-test-ssh;
1854;:za:CF:Finance:SAP Finance BOBJ:UTR00008;15;_-new-template_-discovery-scan-with-credentials-copy;
1855;:za:CF:Compliance:AML (Actimize) Africa Regions Tanzania:UTR07050;15;_-new-template_-discovery-scan-with-credentials-copy;
1856;:za:CF:Compliance:AML Suspicious Transaction Report (Intranet):UTR04255;15;_-new-template_-discovery-scan-with-credentials-copy;
1857;:za:CF:Compliance:Compliance Group Restricted list:UTR06855;15;_-new-template_-discovery-scan-with-credentials-copy;
1858;:za:CF:Finance:SAP Finance PCM:UTR06047;15;_-new-template_-discovery-scan-with-credentials-copy;
